40,1.01,0
60,1.56,0
80,1.16,-0.01
100,0.18,-0.01
120,-0.02,-0.01
140,-0.46,-0.01
160,-0.51,-0.01
180,-0.35,-0.01
200,-0.01,-0.01
220,0.29,-0.01
240,0.2,-0.01
260,-0.81,-0.01
280,-0.89,-0.01
300,-1.31,-0.01
320,-0.34,-0.01
340,0,0
360,-0.46,0
380,-0.15,0.01
400,-0.44,0.01
420,0.23,0.02
440,-0.73,0.02
460,0.18,0.03
480,0.15,0.03
500,-1.03,0.04
520,-0.1,0.05
540,-0.07,0.06
560,0.98,0.06
580,-0.12,0.07
600,0.55,0.08
620,0.7,0.09
640,-0.18,0.1
660,-0.53,0.11
680,0.15,0.12
700,0.71,0.14
720,-0.27,0.15
740,-0.43,0.16
760,-0.54,0.17
780,0.29,0.18
800,0.71,0.2
820,0.21,0.21
840,0.69,0.22
860,0.49,0.23
880,0.98,0.25
900,-0.52,0.26
920,-0.32,0.27
940,-0.33,0.28
960,-0.01,0.3
980,0.48,0.31
1000,-0.25,0.32
1020,0.47,0.34
1040,1.03,0.35
1060,0.59,0.36
1080,0.93,0.37
1100,0,0.38
1120,0.66,0.4
1140,1.4,0.41
1160,1.24,0.42
1180,0.35,0.43
1200,0.81,0.44
1220,-0.03,0.45
1240,0.04,0.46
1260,1.46,0.47
1280,0.18,0.48
1300,0.38,0.49
1320,0.78,0.5
1340,0.82,0.51
1360,0.29,0.51
1380,-0.14,0.52
1400,0.21,0.53
1420,0.41,0.54
1440,0.08,0.54
1460,0.45,0.55
1480,0.51,0.56
1500,0.36,0.56
1520,0.73,0.57
1540,-0.14,0.58
1560,0.72,0.58
1580,1.27,0.59
1600,1.67,0.59
1620,1.02,0.6
1640,0.78,0.6
1660,0.85,0.6
1680,0.83,0.61
1700,1.19,0.61
1720,0.32,0.62
1740,0.82,0.62
1760,0.67,0.62
1780,0.55,0.63
1800,0.33,0.63
1820,0.49,0.63
1840,0.7,0.63
1860,0.59,0.64
1880,0.93,0.64
1900,0.55,0.64
1920,0.48,0.65
1940,0.66,0.65
1960,0.14,0.65
1980,-0.37,0.65
2000,0.09,0.66
2020,0.75,0.66
2040,2.18,0.66
2060,1.03,0.67
2080,0.8,0.67
2100,1.15,0.67
2120,0.74,0.68
2140,0.42,0.68
2160,1.09,0.69
2180,0.94,0.69
2200,0.05,0.7
2220,0.17,0.7
2240,0.08,0.71
2260,0.35,0.72
2280,0.04,0.72
2300,0.3,0.73
2320,0.1,0.74
2340,-0.06,0.75
2360,1.14,0.75
2380,0.81,0.76
2400,1.29,0.77
2420,0.72,0.78
2440,1.5,0.79
2460,0.96,0.8
2480,0.98,0.81
2500,0.06,0.82
2520,0.69,0.83
2540,1.61,0.84
2560,1.37,0.85
2580,1.32,0.86
2600,1.34,0.88
2620,0.61,0.89
2640,-0.37,0.9
2660,0.95,0.91
2680,0.24,0.93
2700,0.71,0.94
2720,0.2,0.95
2740,0.46,0.96
2760,1.68,0.98
2780,1.65,0.99
2800,0.81,1
2820,0.54,1.02
2840,0.82,1.03
2860,0.75,1.04
2880,1.07,1.05
2900,1.24,1.07
2920,1.45,1.08
2940,1.18,1.09
2960,0.63,1.1
2980,2.75,1.11
3000,0.98,1.12
3020,1.33,1.13
3040,2.09,1.15
3060,0.54,1.16
3080,1.79,1.17
3100,0.83,1.18
3120,0.84,1.18
3140,0.78,1.19
3160,1.14,1.2
3180,1.83,1.21
3200,1.96,1.22
3220,1.45,1.23
3240,1.51,1.23
3260,1.1,1.24
3280,1.45,1.25
3300,1.78,1.25
3320,1.08,1.26
3340,1.33,1.27
3360,0.89,1.27
3380,1.34,1.28
3400,0.41,1.28
3420,1.57,1.29
3440,1.07,1.29
3460,1.73,1.3
3480,1.84,1.3
3500,1.2,1.31
3520,1.25,1.31
3540,1.28,1.32
3560,1.11,1.32
3580,1.33,1.33
3600,1.3,1.34
3620,0.66,1.34
3640,0.9,1.35
3660,1.4,1.35
3680,1.67,1.36
3700,1.8,1.36
3720,1.55,1.37
3740,1.86,1.37
3760,1.34,1.38
3780,0.87,1.38
3800,1.05,1.39
3820,1.65,1.4
3840,0.39,1.4
3860,0.79,1.41
3880,0.99,1.41
3900,1.75,1.42
3920,1.76,1.43
3940,1.65,1.43
3960,1.58,1.44
3980,1.55,1.45
4000,1.52,1.45
4020,1.19,1.46
4040,1.19,1.47
4060,1.28,1.47
4080,1.89,1.48
4100,2.07,1.49
